County  Code,County  Name,Constituency Code,Constituency Name,Ward Code,Ward Name,Candidate Surname,Candidate Other Names,Party Code,Political  Party Name,Abbreviation,Abbreviation Enhanced,Party Code Enhanced
34,Kajiado,185,Kajiado East,923,Oloosirkon/Sholinke,Oyier,Alex  Otieno,65,Kenya Reform Party,KRP,KRP,65
34,Kajiado,185,Kajiado East,924,Kenyawa-Poka,Kimiti,Henry  Senteman,15,United Democratic Alliance,UDA,UDA,15
34,Kajiado,185,Kajiado East,924,Kenyawa-Poka,Moloma,Bernard Supeet,21,Orange Democratic Movement,ODM,ODM,21
34,Kajiado,185,Kajiado East,924,Kenyawa-Poka,Tumaina,Joshua Koisinget,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
34,Kajiado,185,Kajiado East,925,Imaroro,Kokan,Daniel  Memusi,15,United Democratic Alliance,UDA,UDA,15
34,Kajiado,185,Kajiado East,925,Imaroro,Moita,John  Parorit,50,Muungano Party,MUUNGANO,MUUNGANO,50
34,Kajiado,185,Kajiado East,925,Imaroro,Peshut,Amos  Melonyie,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
34,Kajiado,185,Kajiado East,925,Imaroro,Shakua,Daniel   Likam,21,Orange Democratic Movement,ODM,ODM,21
34,Kajiado,186,Kajiado West,926,Keekonyokie,Chege,Joseph  Maina,37,National Agenda Party Of Kenya,NAPK,NAPK,37
34,Kajiado,186,Kajiado West,926,Keekonyokie,Kiok,John  Kamuye Ole,13,Democratic Party Of Kenya,DP,DP,13
34,Kajiado,186,Kajiado West,926,Keekonyokie,Kipintoi,William Lasoi,82,The Service Party,TSP,TSP,82
34,Kajiado,186,Kajiado West,926,Keekonyokie,Kirrinkol,Joseph  Odupoi,21,Orange Democratic Movement,ODM,ODM,21
34,Kajiado,186,Kajiado West,926,Keekonyokie,Kitene,Samuel Sane  Ole,80,Usawa Kwa Wote Party,USAWA,USAWA,80
34,Kajiado,186,Kajiado West,926,Keekonyokie,Kusero,Moses  Saoyo,15,United Democratic Alliance,UDA,UDA,15
34,Kajiado,186,Kajiado West,926,Keekonyokie,Leposo,Moses  Puruo,62,Amani National Congress,ANC,ANC,62
34,Kajiado,186,Kajiado West,926,Keekonyokie,Liorket,David  Nina,84,National Reconstruction Alliance,NRA,NRA,84
34,Kajiado,186,Kajiado West,926,Keekonyokie,Mwaura,Bonface Lemuya,22,Peoples Party Of Kenya,PPK,PPK,22
34,Kajiado,186,Kajiado West,926,Keekonyokie,Naewu,Isaac  Ikote,40,The New Democrats,TND,TND,40
34,Kajiado,186,Kajiado West,926,Keekonyokie,Ndichu,Christopher Njuguna,58,Republican Liberty Party,RLP,RLP,58
34,Kajiado,186,Kajiado West,926,Keekonyokie,Ndungu,Francis Kamau,83,National Ordinary Peoples Empowerment Union,NOPEU,NOPEU,83
34,Kajiado,186,Kajiado West,926,Keekonyokie,Ndungu,Kelvin  Mungai,34,Safina,SAFINA,SAFINA,34
34,Kajiado,186,Kajiado West,926,Keekonyokie,Njenga,David  Kabere,Ind,Independent,IND,IND_CAW926_01,IND_CAW926_01
34,Kajiado,186,Kajiado West,926,Keekonyokie,Oloretu,Evans  Kipila,Ind,Independent,IND,IND_CAW926_02,IND_CAW926_02
34,Kajiado,186,Kajiado West,926,Keekonyokie,Panai,Philip  Yiale,14,Party Of National Unity,PNU,PNU,14
34,Kajiado,186,Kajiado West,926,Keekonyokie,Semeyian,Amos  Solitei,27,Jubilee Party,JP,JP,27
34,Kajiado,186,Kajiado West,926,Keekonyokie,Supeet,Joseph  Tumpes,Ind,Independent,IND,IND_CAW926_03,IND_CAW926_03
34,Kajiado,186,Kajiado West,926,Keekonyokie,Tumpes,Joel  Simel,46,United Party Of Independent Alliance,UPIA,UPIA,46
34,Kajiado,186,Kajiado West,927,Iloodokilani,Mpaada,Jackson Reteti,21,Orange Democratic Movement,ODM,ODM,21
34,Kajiado,186,Kajiado West,927,Iloodokilani,Saigilu,Joshua Saitoti,15,United Democratic Alliance,UDA,UDA,15
34,Kajiado,186,Kajiado West,928,Magadi,Kiresian,Isaac  Keses,21,Orange Democratic Movement,ODM,ODM,21
34,Kajiado,186,Kajiado West,928,Magadi,Nateng'Ena,Dickson Parsiyien,27,Jubilee Party,JP,JP,27
34,Kajiado,186,Kajiado West,928,Magadi,Oltetia,Joseph  Masiaya,15,United Democratic Alliance,UDA,UDA,15
34,Kajiado,186,Kajiado West,929,Ewuaso Oonkidong'i,Kiparen,Kioma,62,Amani National Congress,ANC,ANC,62
34,Kajiado,186,Kajiado West,929,Ewuaso Oonkidong'i,Maragara,Antony Njenga,Ind,Independent,IND,IND_CAW929_01,IND_CAW929_01
34,Kajiado,186,Kajiado West,929,Ewuaso Oonkidong'i,Moiyiae,Jay Paapa,27,Jubilee Party,JP,JP,27
34,Kajiado,186,Kajiado West,929,Ewuaso Oonkidong'i,Ndichu,Selestar Ndungu,22,Peoples Party Of Kenya,PPK,PPK,22
34,Kajiado,186,Kajiado West,929,Ewuaso Oonkidong'i,Neiliang,Joseph  Torinke,15,United Democratic Alliance,UDA,UDA,15
34,Kajiado,186,Kajiado West,929,Ewuaso Oonkidong'i,Sekento,Hassan,Ind,Independent,IND,IND_CAW929_02,IND_CAW929_02
34,Kajiado,186,Kajiado West,929,Ewuaso Oonkidong'i,Torris,Joseph  Karatina,21,Orange Democratic Movement,ODM,ODM,21
