County Code,County Name,Constituency Code,Constituency Name,Candidate Surname,Candidate Other Names,Party Code,Political Party Name,Abbreviation,Abbreviation Enhanced,Party Code Enhanced
4,Tana River,20,Bura,Shora,Saddam Hassan,21,Orange Democratic Movement,ODM,ODM,21
4,Tana River,20,Bura,Soba,Hussein Killo,41,United Democratic Movement,UDM,UDM,41
5,Lamu,21,Lamu East,Ali,Sharif Athman,15,United Democratic Alliance,UDA,UDA,15
5,Lamu,21,Lamu East,Kombo,Shekue Kahale,33,Kenya African National Union,KANU,KANU,33
5,Lamu,21,Lamu East,Madhbuti,Mohamed,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
5,Lamu,21,Lamu East,Obo,Ruweida Mohamed,27,Jubilee Party,JP,JP,27
5,Lamu,22,Lamu West,Ahmed,Abdu Kassim,62,Amani National Congress,ANC,ANC,62
5,Lamu,22,Lamu West,Ahmed,Rishad Hamid,15,United Democratic Alliance,UDA,UDA,15
5,Lamu,22,Lamu West,Albeity,Hassan Abdalla,91,Pamoja African Alliance,PAA,PAA,91
5,Lamu,22,Lamu West,Badawy,Alwy Ahmed,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
5,Lamu,22,Lamu West,Khamis,Ishmael Kaviha,37,National Agenda Party Of Kenya,NAPK,NAPK,37
5,Lamu,22,Lamu West,Matei,Josphat Musembi,80,Usawa Kwa Wote Party,USAWA,USAWA,80
5,Lamu,22,Lamu West,Muthama,Stanley Muiruri,27,Jubilee Party,JP,JP,27
5,Lamu,22,Lamu West,Njuguna,Abdirashid Mwaura,14,Party Of National Unity,PNU,PNU,14
5,Lamu,22,Lamu West,Nyaga,Mary Immaculate W,1,National Rainbow Coalition-Kenya,NARC-KENYA,NARC-KENYA,1
5,Lamu,22,Lamu West,Omar,Janat Ali,79,United Green Movement,UGM,UGM,79
5,Lamu,22,Lamu West,Wanyoike,Zacchaeus Mboche,34,Safina,SAFINA,SAFINA,34
6,Taita Taveta,23,Taveta,Bwire,John Okano,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
6,Taita Taveta,23,Taveta,Mutiso,Morris Muindi,21,Orange Democratic Movement,ODM,ODM,21
6,Taita Taveta,23,Taveta,Muutu,Gaudenzio Kangethe,Ind,Independent,IND,IND_NAM23_01,IND_NAM23_01
6,Taita Taveta,23,Taveta,Mzirai,Didas Mwachila,15,United Democratic Alliance,UDA,UDA,15
6,Taita Taveta,23,Taveta,Shaban,Naomi Namsi,27,Jubilee Party,JP,JP,27
6,Taita Taveta,24,Wundanyi,Mwachia,Simon,27,Jubilee Party,JP,JP,27
6,Taita Taveta,24,Wundanyi,Mwakiridia,Mathias Mwangangu,Ind,Independent,IND,IND_NAM24_01,IND_NAM24_01
6,Taita Taveta,24,Wundanyi,Mwakuwona,Danson Mwashako,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
6,Taita Taveta,24,Wundanyi,Mwakwida,Dennis Mwasaka,21,Orange Democratic Movement,ODM,ODM,21
6,Taita Taveta,25,Mwatate,Irina,Mathias Mjomba,32,Communist Party Of Kenya,CPK,CPK,32
6,Taita Taveta,25,Mwatate,Kirubai,Gibson,Ind,Independent,IND,IND_NAM25_01,IND_NAM25_01
6,Taita Taveta,25,Mwatate,Kitando,Dominic Nyambu,80,Usawa Kwa Wote Party,USAWA,USAWA,80
6,Taita Taveta,25,Mwatate,Mbondenyi,Morris Kiwinda,15,United Democratic Alliance,UDA,UDA,15
6,Taita Taveta,25,Mwatate,Mghana,Harrison Ben,38,Peoples Empowerment Party,PEP,PEP,38
6,Taita Taveta,25,Mwatate,Mlagui,Majala Delina,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
6,Taita Taveta,25,Mwatate,Mwambingu,Christopher Mwadime,21,Orange Democratic Movement,ODM,ODM,21
6,Taita Taveta,25,Mwatate,Mwanyota,Lawea Andrew,62,Amani National Congress,ANC,ANC,62
6,Taita Taveta,25,Mwatate,Mzenge,Dawson Katuu,91,Pamoja African Alliance,PAA,PAA,91
6,Taita Taveta,25,Mwatate,Shake,Peter Mbogho,27,Jubilee Party,JP,JP,27
6,Taita Taveta,26,Voi,Abdi,Khamis Chome,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
6,Taita Taveta,26,Voi,Kizidio,Veronica Wakesho,30,Kenya African Democratic Union-Asili,KADU-ASILI,KADU-ASILI,30
6,Taita Taveta,26,Voi,Masawi,Dr Vincent Mwandima,21,Orange Democratic Movement,ODM,ODM,21
6,Taita Taveta,26,Voi,Mlolwa,Jones Mwagogo,27,Jubilee Party,JP,JP,27
6,Taita Taveta,26,Voi,Mngoda,Dishon K Mwanzige,82,The Service Party,TSP,TSP,82
6,Taita Taveta,26,Voi,Muli,Albanus Mutumwa,15,United Democratic Alliance,UDA,UDA,15
6,Taita Taveta,26,Voi,Mwachoki,Jeremiah Mwavadu,80,Usawa Kwa Wote Party,USAWA,USAWA,80
6,Taita Taveta,26,Voi,Mwaeni,Harun Mwadali,62,Amani National Congress,ANC,ANC,62
6,Taita Taveta,26,Voi,Mwakaba,Frank Martin,88,Tujibebe Wakenya Party,JIBEBE,JIBEBE,88
6,Taita Taveta,26,Voi,Mwarema,Godfrey Mwanjulu,Ind,Independent,IND,IND_NAM26_01,IND_NAM26_01
6,Taita Taveta,26,Voi,Mwawasi,Michael Mwadime,91,Pamoja African Alliance,PAA,PAA,91
7,Garissa,27,Garissa Township,Dolal,Nassir Mohamed,21,Orange Democratic Movement,ODM,ODM,21
7,Garissa,27,Garissa Township,Duale,Aden Bare,15,United Democratic Alliance,UDA,UDA,15
7,Garissa,27,Garissa Township,Ibrahim,Siyat Osman,27,Jubilee Party,JP,JP,27
7,Garissa,27,Garissa Township,Ismail,Hassan Ali,33,Kenya African National Union,KANU,KANU,33
7,Garissa,27,Garissa Township,Mohamed,Abdullahi Mohamud,81,United Progressive Alliance,UPA,UPA,81
7,Garissa,27,Garissa Township,Yunis,Aden Abdullahi,68,Democratic Congress,DC,DC,68
7,Garissa,28,Balambala,Aden,Abdikadir Omar,15,United Democratic Alliance,UDA,UDA,15
7,Garissa,28,Balambala,Ali,Ismail Arale,23,Forum For Restoration Of Democracy-Kenya,FORD-KENYA,FORD-KENYA,23
7,Garissa,28,Balambala,Aress,Mohamed Yarrow,21,Orange Democratic Movement,ODM,ODM,21
