County Code,County Name,Candidate Surname,Candidate Other Names,Party Code,Political Party Name,Abbreviation,Abbreviation Enhanced,Party Code Enhanced
8,Wajir,Ahmed,Omar Adan,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
8,Wajir,Durow,Abdikadir Ahmed,1,National Rainbow Coalition-Kenya,NARC-KENYA,NARC-KENYA,1
8,Wajir,Enow,Adan Omar,27,Jubilee Party,JP,JP,27
8,Wajir,Maalim,Abdirahaman Ali,21,Orange Democratic Movement,ODM,ODM,21
8,Wajir,Mohamed,Abass Sheikh,41,United Democratic Movement,UDM,UDM,41
8,Wajir,Yahya,Shallow Abdullahi,15,United Democratic Alliance,UDA,UDA,15
9,Mandera,Abdullah,Adan Maalim,21,Orange Democratic Movement,ODM,ODM,21
9,Mandera,Adan,Said Mohamed,46,United Party Of Independent Alliance,UPIA,UPIA,46
9,Mandera,Ali,Ibrahim Mohamed,Ind,Independent,IND,IND_SEN9_01,IND_SEN9_01
9,Mandera,Chulu,Ibrahim Mohamed Alio,27,Jubilee Party,JP,JP,27
9,Mandera,Hache,Hassan Issack,15,United Democratic Alliance,UDA,UDA,15
9,Mandera,Mahamud,Mohamed Maalim,Ind,Independent,IND,IND_SEN9_02,IND_SEN9_02
9,Mandera,Roba,Ali Ibrahim,41,United Democratic Movement,UDM,UDM,41
10,Marsabit,Abagaro,Galgallo Wako,62,Amani National Congress,ANC,ANC,62
10,Marsabit,Chute,Mohamed Said,15,United Democratic Alliance,UDA,UDA,15
10,Marsabit,Esintele,Allyce Kureiya,46,United Party Of Independent Alliance,UPIA,UPIA,46
10,Marsabit,Hargura,Godana,41,United Democratic Movement,UDM,UDM,41
10,Marsabit,Sele,Adan Hassan Sheik,33,Kenya African National Union,KANU,KANU,33
11,Isiolo,Fatuma,Dullo Adan,27,Jubilee Party,JP,JP,27
11,Isiolo,Huka,Ahmed Adan,32,Communist Party Of Kenya,CPK,CPK,32
11,Isiolo,Issa,Abdi Ibrahim,14,Party Of National Unity,PNU,PNU,14
11,Isiolo,Lokitela,Augostino Ikiara,65,Kenya Reform Party,KRP,KRP,65
11,Isiolo,Mohamed,Nuh Ibrahim,Ind,Independent,IND,IND_SEN11_01,IND_SEN11_01
11,Isiolo,Roba,Hussein Halake,33,Kenya African National Union,KANU,KANU,33
12,Meru,Arimba,Joseph Kaberia,Ind,Independent,IND,IND_SEN12_01,IND_SEN12_01
12,Meru,Gituma,Rosemary Kinanu,33,Kenya African National Union,KANU,KANU,33
12,Meru,John,Mburuki,Ind,Independent,IND,IND_SEN12_02,IND_SEN12_02
12,Meru,Kathuri,Murungi,15,United Democratic Alliance,UDA,UDA,15
12,Meru,Kirera,Muthomi Jacob,Ind,Independent,IND,IND_SEN12_03,IND_SEN12_03
12,Meru,Kirima,Mary Muthoni,34,Safina,SAFINA,SAFINA,34
12,Meru,Marete,Isaack Kinoti,Ind,Independent,IND,IND_SEN12_04,IND_SEN12_04
12,Meru,Mitheu,Godfrey Mwiti,Ind,Independent,IND,IND_SEN12_05,IND_SEN12_05
12,Meru,Mithika,James,27,Jubilee Party,JP,JP,27
12,Meru,Mutuma,Thuranira Salesio,Ind,Independent,IND,IND_SEN12_06,IND_SEN12_06
13,Tharaka - Nithi,Makunyi,Paul Mugambi,27,Jubilee Party,JP,JP,27
13,Tharaka - Nithi,Muturi,Wilfred Kirimi,86,Party For Peace And Development,PPD,PPD,86
13,Tharaka - Nithi,Mwenda,Julius Gataya,15,United Democratic Alliance,UDA,UDA,15
13,Tharaka - Nithi,Ragwa,Samwel Mbae,Ind,Independent,IND,IND_SEN13_01,IND_SEN13_01
14,Embu,January,Bernard Njeru Wa,33,Kenya African National Union,KANU,KANU,33
14,Embu,Karani,Fridah Wanjiku,82,The Service Party,TSP,TSP,82
14,Embu,Kithu,John Njeru,1,National Rainbow Coalition-Kenya,NARC-KENYA,NARC-KENYA,1
14,Embu,Mbogo,Lillian Wanja Muthoni,27,Jubilee Party,JP,JP,27
14,Embu,Mundigi,Alexander Munyi,13,Democratic Party Of Kenya,DP,DP,13
14,Embu,Ndwiga,Josphat Mugendi,80,Usawa Kwa Wote Party,USAWA,USAWA,80
14,Embu,Ndwiga,Peter Njeru,Ind,Independent,IND,IND_SEN14_01,IND_SEN14_01
14,Embu,Njeru,David Kariuki,15,United Democratic Alliance,UDA,UDA,15
14,Embu,Njeru,Stephen Nyaga,62,Amani National Congress,ANC,ANC,62
14,Embu,Nyagah,Norman M G K,Ind,Independent,IND,IND_SEN14_02,IND_SEN14_02
14,Embu,Wambora,Martin Nyaga,45,Umoja Na Maendeleo Party,UMP,UMP,45
14,Embu,Wamuuru,Moses,21,Orange Democratic Movement,ODM,ODM,21
15,Kitui,Kalumbo,Frederick Isika,21,Orange Democratic Movement,ODM,ODM,21
15,Kitui,Kameta,Dorcas Mwende,27,Jubilee Party,JP,JP,27
15,Kitui,Kilonzo,Stephen Mutua,15,United Democratic Alliance,UDA,UDA,15
15,Kitui,Makonge,Stephen Kyalo Musango,Ind,Independent,IND,IND_SEN15_01,IND_SEN15_01
15,Kitui,Mati,Wilfred Nyamu,67,Maendeleo Chap Chap Party,MCCP,MCCP,67
15,Kitui,Mutambuki,Benjamin Muithya,13,Democratic Party Of Kenya,DP,DP,13
15,Kitui,Mutiisya,Ravaspaul Kyalo,62,Amani National Congress,ANC,ANC,62
15,Kitui,Mutukaa,Julius Muinde,29,National Rainbow Coalition,NARC,NARC,29
15,Kitui,Wambua,Enoch Kiio,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
16,Machakos,Katuku,John Mutua,66,Peoples Trust Party,PTP,PTP,66
16,Machakos,Kilonzo,Charles Mutavi,Ind,Independent,IND,IND_SEN16_01,IND_SEN16_01
16,Machakos,Mbaluka,Joel Kyatha,15,United Democratic Alliance,UDA,UDA,15
16,Machakos,Mungata,Benard Muteti,67,Maendeleo Chap Chap Party,MCCP,MCCP,67
16,Machakos,Muthama,Agnes Kavindu Mbuku,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
16,Machakos,Mwikya,Maureen Ndungwa,27,Jubilee Party,JP,JP,27
16,Machakos,Ngengele,Urbanus Mutunga Muthama,21,Orange Democratic Movement,ODM,ODM,21
16,Machakos,Nyalita,Angela Mwikali,80,Usawa Kwa Wote Party,USAWA,USAWA,80
17,Makueni,Kibwana,Kivutha,50,Muungano Party,MUUNGANO,MUUNGANO,50
