County Code,County Name,Candidate Surname,Candidate Other Names,Party Code,Political Party Name,Abbreviation,Abbreviation Enhanced,Party Code Enhanced
10,Marsabit,Rari,Fatuma Hawa,Ind,Independent,IND,IND_WMNA10_01,IND_WMNA10_01
10,Marsabit,Umuro,Isako Dibo,62,Amani National Congress,ANC,ANC,62
10,Marsabit,Waqo,Naomi Jillo,15,United Democratic Alliance,UDA,UDA,15
11,Isiolo,Abdirahman,Nasibo Hawa,21,Orange Democratic Movement,ODM,ODM,21
11,Isiolo,Bonaya,Mumina Gollo,27,Jubilee Party,JP,JP,27
11,Isiolo,Gindole,Challa Wario,32,Communist Party Of Kenya,CPK,CPK,32
11,Isiolo,Jaldesa,Rehema Dida,Ind,Independent,IND,IND_WMNA11_01,IND_WMNA11_01
11,Isiolo,Kagwira,Winfred,15,United Democratic Alliance,UDA,UDA,15
11,Isiolo,Kirimi,Milkah Kawira,82,The Service Party,TSP,TSP,82
11,Isiolo,Konso,Jillo Mumina,8,Devolution Empowerment Party,DEP,DEP,8
11,Isiolo,Loktanei,Caroline Adapal,83,National Ordinary Peoples Empowerment Union,NOPEU,NOPEU,83
11,Isiolo,Musa,Sumeiya Bishar,85,Democratic Action Party-Kenya,DAP-K,DAP-K,85
12,Meru,Biriri,Felicity Nkirote,8,Devolution Empowerment Party,DEP,DEP,8
12,Meru,Kaburu,Perpetual Mary Kagweni,34,Safina,SAFINA,SAFINA,34
12,Meru,Kailemia,Elizabeth Karambu,15,United Democratic Alliance,UDA,UDA,15
12,Meru,Kanana,Beth,21,Orange Democratic Movement,ODM,ODM,21
12,Meru,Kinyua,Susan K M,5,Mwangaza Tu Party,MTP,MTP,5
12,Meru,Mbui,Marzellah Gakii,27,Jubilee Party,JP,JP,27
12,Meru,Michuki,Charity Kagendo,62,Amani National Congress,ANC,ANC,62
12,Meru,Munoru,Miriam Karema,Ind,Independent,IND,IND_WMNA12_01,IND_WMNA12_01
12,Meru,Mutwiri,Irene Mukuba,Ind,Independent,IND,IND_WMNA12_02,IND_WMNA12_02
12,Meru,Mwirigi,Edith Nkatha,Ind,Independent,IND,IND_WMNA12_03,IND_WMNA12_03
12,Meru,Ngatunyi,Mary Ncekei,Ind,Independent,IND,IND_WMNA12_04,IND_WMNA12_04
13,Tharaka - Nithi,Julius,Lucy Wanja,Ind,Independent,IND,IND_WMNA13_01,IND_WMNA13_01
13,Tharaka - Nithi,Kambanja,Penina Nkamba Murungi,27,Jubilee Party,JP,JP,27
13,Tharaka - Nithi,Kinyua,Beatrice Kathomi,15,United Democratic Alliance,UDA,UDA,15
13,Tharaka - Nithi,Kithinji,Sarah Karimi,21,Orange Democratic Movement,ODM,ODM,21
13,Tharaka - Nithi,Nduyo,Susan Ngugi,82,The Service Party,TSP,TSP,82
14,Embu,Double N,Pamela Njoki Njeru,15,United Democratic Alliance,UDA,UDA,15
14,Embu,Gitari,Susan Wanjiru,Ind,Independent,IND,IND_WMNA14_01,IND_WMNA14_01
14,Embu,Kariuki,Margaret Lorna,Ind,Independent,IND,IND_WMNA14_02,IND_WMNA14_02
14,Embu,Kibocha,Jacquelyne Wambui,21,Orange Democratic Movement,ODM,ODM,21
14,Embu,Marigu,Mary Marigu,33,Kenya African National Union,KANU,KANU,33
14,Embu,Mitaru,Rose Rwamba,1,National Rainbow Coalition-Kenya,NARC-KENYA,NARC-KENYA,1
14,Embu,Mwangi,Mary Wangari,62,Amani National Congress,ANC,ANC,62
14,Embu,Njiru,Catherine Wanja,86,Party For Peace And Development,PPD,PPD,86
14,Embu,Njiru,Jane Wanjuki,Ind,Independent,IND,IND_WMNA14_03,IND_WMNA14_03
14,Embu,Njiru,Margery Wawira,8,Devolution Empowerment Party,DEP,DEP,8
14,Embu,Njue,Rosemary Murugi,13,Democratic Party Of Kenya,DP,DP,13
14,Embu,Nyaga,Susan Mbuya,27,Jubilee Party,JP,JP,27
14,Embu,Wambura,Josephine,2,The National Vision Party,NVP,NVP,2
15,Kitui,Kasalu,Irene Muthoni,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
15,Kitui,Kitemange,Emmah Kamene,67,Maendeleo Chap Chap Party,MCCP,MCCP,67
15,Kitui,Malonza,Peninah,15,United Democratic Alliance,UDA,UDA,15
15,Kitui,Mutisya,Ann Meliki,29,National Rainbow Coalition,NARC,NARC,29
15,Kitui,Ndile,Esther Kalunda,27,Jubilee Party,JP,JP,27
15,Kitui,Nguu,Jackline Lameki,80,Usawa Kwa Wote Party,USAWA,USAWA,80
16,Machakos,Kamene,Joyce,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
16,Machakos,Kioko,Selinah Mwende,49,Federal Party Of Kenya,FPK,FPK,49
16,Machakos,Kisyang'a,Elizabeth,75,Empowerment And Liberation Party,ELP,ELP,75
16,Machakos,Muli,Benedetta Mutunge,27,Jubilee Party,JP,JP,27
16,Machakos,Munyao,Josephine Wayua,66,Peoples Trust Party,PTP,PTP,66
16,Machakos,Musyoki,Victoria Ndunge,36,Chama Cha Uzalendo,CCU,CCU,36
16,Machakos,Mutua,Eunice Nzilani,15,United Democratic Alliance,UDA,UDA,15
16,Machakos,Ndunda,Ritah Ndunge,67,Maendeleo Chap Chap Party,MCCP,MCCP,67
17,Makueni,Kihumba,Jacinta Wanza,29,National Rainbow Coalition,NARC,NARC,29
17,Makueni,Kingoo,Betty Kanini,21,Orange Democratic Movement,ODM,ODM,21
17,Makueni,Kitundu,Jane Wavinya,67,Maendeleo Chap Chap Party,MCCP,MCCP,67
17,Makueni,Matingi,Dorcas Musengya,95,Green Thinking Action Party,GTAP,GTAP,95
17,Makueni,Maweu,Damaris Mbaika,62,Amani National Congress,ANC,ANC,62
17,Makueni,Mumo,Rose Museo,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
17,Makueni,Mutula,Mbula,Ind,Independent,IND,IND_WMNA17_01,IND_WMNA17_01
17,Makueni,Mwau,Adelina Ndeto,15,United Democratic Alliance,UDA,UDA,15
17,Makueni,Mwewa,Grace Mueni Francis,36,Chama Cha Uzalendo,CCU,CCU,36
17,Makueni,Nzioka,Maureen Wavinya,50,Muungano Party,MUUNGANO,MUUNGANO,50
18,Nyandarua,Gitau,Faith Wairimu,15,United Democratic Alliance,UDA,UDA,15
18,Nyandarua,Kabacho,Naomi Wanjugu,Ind,Independent,IND,IND_WMNA18_01,IND_WMNA18_01
18,Nyandarua,Kinyanjui,Ruth Wambui,80,Usawa Kwa Wote Party,USAWA,USAWA,80
18,Nyandarua,Mucheke,Monicah Nyambura,Ind,Independent,IND,IND_WMNA18_02,IND_WMNA18_02
18,Nyandarua,Muhia,Judy Nyambura,82,The Service Party,TSP,TSP,82
18,Nyandarua,Muhoho,Esther Wanjiku,27,Jubilee Party,JP,JP,27
18,Nyandarua,Mwathi,Marion Wanjira,87,Chama Cha Kazi,KAZI,KAZI,87
19,Nyeri,Githumbi,Sunny Njeri,80,Usawa Kwa Wote Party,USAWA,USAWA,80
19,Nyeri,Karigo,Priscila Wambaire,Ind,Independent,IND,IND_WMNA19_01,IND_WMNA19_01
19,Nyeri,Karungaru,Margaret,Ind,Independent,IND,IND_WMNA19_02,IND_WMNA19_02
19,Nyeri,Komu,Rose Wambui,87,Chama Cha Kazi,KAZI,KAZI,87
19,Nyeri,Muthoni,Anne Caroline,Ind,Independent,IND,IND_WMNA19_03,IND_WMNA19_03
19,Nyeri,Njoori,Mary Njeri,27,Jubilee Party,JP,JP,27
19,Nyeri,Njoroge,Ann Wanjuhi,Ind,Independent,IND,IND_WMNA19_04,IND_WMNA19_04
19,Nyeri,Wachira,Rahab Mukami,15,United Democratic Alliance,UDA,UDA,15
19,Nyeri,Wahome,Jecinta Wanjira,82,The Service Party,TSP,TSP,82
20,Kirinyaga,Gichamba,Lydiah Gicugu,80,Usawa Kwa Wote Party,USAWA,USAWA,80
20,Kirinyaga,Githinji,Anne Wangechi,Ind,Independent,IND,IND_WMNA20_01,IND_WMNA20_01
20,Kirinyaga,Kamami,Elizabeth Nyawira,1,National Rainbow Coalition-Kenya,NARC-KENYA,NARC-KENYA,1
20,Kirinyaga,Karani,Shujaa Rose Wanjiru Wachira,27,Jubilee Party,JP,JP,27
20,Kirinyaga,Maina,Jane Njeri,15,United Democratic Alliance,UDA,UDA,15
20,Kirinyaga,Ngunyi,Beth Wambura,Ind,Independent,IND,IND_WMNA20_02,IND_WMNA20_02
20,Kirinyaga,Njue,Tabitha Wanjiku,44,Party Of Democratic Unity,PDU,PDU,44
20,Kirinyaga,Wambui,Emmah Waithera,79,United Green Movement,UGM,UGM,79
21,Murang'a,Chege,Frasiah Muthoni,Ind,Independent,IND,IND_WMNA21_01,IND_WMNA21_01
21,Murang'a,Kibinda,Beth Waithira Mburu,47,Farmers Party,FP,FP,47
21,Murang'a,Kimani,Isabel Njeri,80,Usawa Kwa Wote Party,USAWA,USAWA,80
21,Murang'a,Kinuthia,Julia Wanjiru,62,Amani National Congress,ANC,ANC,62
21,Murang'a,Maina,Betty Njeri,15,United Democratic Alliance,UDA,UDA,15
21,Murang'a,Muchai,Leah Wanjiru,34,Safina,SAFINA,SAFINA,34
21,Murang'a,Muithirania,Evelyn Waithira,27,Jubilee Party,JP,JP,27
22,Kiambu,Bakari,Njeri,87,Chama Cha Kazi,KAZI,KAZI,87
22,Kiambu,Kim,Loise,Ind,Independent,IND,IND_WMNA22_01,IND_WMNA22_01
22,Kiambu,Kirika,Mary Wanjiru Mwaniki,Ind,Independent,IND,IND_WMNA22_02,IND_WMNA22_02
22,Kiambu,Koinange,Lennah Catherine,Ind,Independent,IND,IND_WMNA22_03,IND_WMNA22_03
22,Kiambu,Muratha,Anne Wanjiku Mugo,15,United Democratic Alliance,UDA,UDA,15
22,Kiambu,Mwangi,Gladys Njeri Chania,27,Jubilee Party,JP,JP,27
22,Kiambu,Ndung'u,Lydia Njeri,21,Orange Democratic Movement,ODM,ODM,21
22,Kiambu,Ndungu,Mercy Nungari,88,Tujibebe Wakenya Party,JIBEBE,JIBEBE,88
